uei,start,end,state,location,deaths
UEI-IMD-FL-2017-0106,2017-09-06,2017-09-06,Tamil Nadu,,3.0
UEI-IMD-FL-2017-0012,2017-09-07,2017-09-11,Assam,,2.0
UEI-IMD-FL-2017-0057,2017-09-08,2017-09-10,Karnataka,,12.0
UEI-IMD-FL-2017-0072,2017-09-08,2017-09-10,Kerala,,6.0
UEI-IMD-FL-2017-0058,2017-09-13,2017-09-15,Karnataka,,5.0
UEI-IMD-FL-2017-0059,2017-09-17,2017-09-17,Karnataka,,1.0
UEI-IMD-FL-2017-0073,2017-09-17,2017-09-17,Kerala,,4.0
UEI-IMD-FL-2017-0074,2017-09-18,2017-09-19,Kerala,,5.0
UEI-IMD-FL-2017-0103,2017-09-20,2017-09-20,Sikkim,,3.0
UEI-IMD-FL-2017-0060,2017-09-26,2017-09-28,Karnataka,,4.0
UEI-IMD-FL-2017-0061,2017-09-29,2017-09-30,Karnataka,,2.0
UEI-IMD-FL-2017-0107,2017-10-04,2017-10-05,Tamil Nadu,,5.0
UEI-IMD-FL-2017-0062,2017-10-05,2017-10-08,Karnataka,,
UEI-IMD-FL-2017-0039,2017-10-09,2017-10-09,Jammu & Kashmir,,1.0
UEI-IMD-FL-2017-0108,2017-10-12,2017-10-12,Tamil Nadu,,2.0
UEI-IMD-FL-2017-0063,2017-10-13,2017-10-15,Karnataka,,10.0
UEI-IMD-FL-2017-0075,2017-10-22,2017-10-22,Kerala,,
UEI-IMD-FL-2017-0076,2017-11-02,2017-11-03,Kerala,,
UEI-IMD-FL-2017-0109,2017-11-02,2017-11-04,Tamil Nadu,,10.0
UEI-IMD-FL-2017-0077,2017-11-05,2017-11-06,Kerala,,
UEI-IMD-FL-2017-0115,2017-11-08,2017-11-08,Tripura,,3.0
UEI-IMD-FL-2017-0064,2017-12-01,2017-12-01,Karnataka,,
UEI-IMD-FL-2017-0102,2017-12-09,2017-12-09,Rajasthan,,2.0
UEI-IMD-FL-2018-0065,2018-01-08,2018-08-31,Nagaland,,12.0
UEI-IMD-FL-2018-0046,2018-02-12,2018-02-12,Maharashtra,,
UEI-IMD-FL-2018-0077,2018-03-14,2018-03-16,Tamil Nadu,,
UEI-IMD-FL-2018-0030,2018-03-18,2018-03-18,Kerala,,
